Codes
"Conceptual Knowledge, Mathematical Knowledge"
"Procedural Knowledge, Metacognitive Knowledge"
"Conceptual Knowledge, Uncertainty and Limitations"
"Practical and Professional Knowledge, Ethical Knowledge"
"Conceptual Knowledge, Interdisciplinary Knowledge"
"Epistemic Knowledge, Uncertainty and Limitations"
"Procedural Knowledge, Practical and Professional Knowledge"
"Historical Knowledge, Conceptual Knowledge"
"Conceptual Knowledge, Mathematical Knowledge, Procedural Knowledge"
"Practical and Professional Knowledge, Ethical Knowledge, Uncertainty and Limitations"
"Interdisciplinary Knowledge, Conceptual Knowledge, Historical Knowledge"
"Metacognitive Knowledge, Procedural Knowledge, Epistemic Knowledge"
"Conceptual Knowledge, Mathematical Knowledge, Uncertainty and Limitations, Epistemic Knowledge"
"Practical and Professional Knowledge, Ethical Knowledge, Interdisciplinary Knowledge"
"Conceptual Knowledge, Procedural Knowledge, Practical and Professional Knowledge"
"Conceptual Knowledge"
"Historical Knowledge"
"Procedural Knowledge"
"Interdisciplinary Knowledge"
"Epistemic Knowledge"
"Metacognitive Knowledge"
"Ethical Knowledge"
"Mathematical Knowledge"
"Uncertainty and Limitations"
"Practical and Professional Knowledge"
